state,county,total_population,percent_homeowners,percent_below_poverty,percent_fair_or_poor_health,percent_frequent_physical_distress,percent_adults_with_obesity,percent_frequent_mental_distress,percent_minorities,percent_insufficient_sleep,per_capita_income,percent_no_highschool_diploma,percent_unemployed_CDC,percent_excessive_drinking_cat,population_density_per_sqmi_cat
Iowa,Hamilton,15227,72.85827395,10.8,12.40265343,8.936985537,33.1,10.61585769,9.8,27.91061937,28076.0,7.8,3.0,high,under_populated
Iowa,Page,15552,72.46560177,14.9,15.29004873,9.785163659,44.2,11.4135788,8.2,28.20130799,25461.0,11.6,4.3,high,under_populated
Iowa,Madison,15661,78.50689491,6.8,11.38298428,8.636251947,36.8,10.27345108,3.6,27.57878273,29430.0,5.6,4.8,high,under_populated
Iowa,Floyd,16004,72.21482468,14.1,14.49576909,10.26178443,40.7,11.84407971,6.8,27.86548146,26929.0,11.0,3.5,high,under_populated
Iowa,Iowa,16326,78.10337211,9.8,12.05364331,9.092241062,31.5,10.49839731,4.2,26.03780749,28640.0,7.9,1.8,high,under_populated
Iowa,Scott,171116,69.46512495,12.2,14.55430219,9.863424142,33.1,10.94906034,19.0,28.35142818,30037.0,7.0,4.9,high,extremely_populated
Iowa,Linn,218076,74.3950917,9.4,11.82260187,8.630683321,34.4,10.62281162,12.3,27.2527713,31854.0,5.4,4.2,high,extremely_populated
Iowa,Polk,459159,67.17223664,12.4,13.38016011,9.102738385,31.9,10.84976316,20.9,30.11557275,32232.0,8.3,5.2,high,extremely_populated
Kansas,Greeley,1235,62.14574899,7.1,17.82984442,10.87049976,28.3,11.44611955,23.7,28.24305668,26040.0,11.7,1.2,low,under_populated
Kansas,Wallace,1584,77.72511848,10.2,13.80331246,9.590545326,26.1,10.56295206,5.6,27.90503868,28875.0,10.2,6.6,high,under_populated
Kansas,Lane,1687,77.12833545,8.9,16.24392489,10.39061083,31.0,11.46042989,6.3,28.47066163,31329.0,6.9,3.6,low,under_populated
Kansas,Pawnee,6840,68.06554756,7.3,15.54549716,9.853616326,36.7,10.8913763,15.2,31.28888858,25193.0,10.7,1.2,high,under_populated
Kansas,Wabaunsee,6960,85.34012368,6.7,12.45609882,9.119086656,33.0,10.18053143,6.9,28.02247933,25194.0,5.6,4.7,high,under_populated
Kansas,Russell,6988,80.69822088,13.0,15.92634214,10.58173573,33.2,11.65155435,6.8,27.9367693,24181.0,9.7,6.5,low,under_populated
